title,plot,plot_word_count
The Spirit Is Willing,Ben (Sid Caesar) and Kate Powell (Vera Miles) rent a haunted New England house by the sea where their son Steve (Barry Gordon) cops the blame for mayhem caused by the pranks of three mischievous ghosts.,36
Fragment of Fear,"Tim Brett (Hemmings) is a former drug addict who has written a book about his experience and has been published. He has been clean for about a year. He had recently become acquainted with his aunt (Robson), a philanthropist who expresses interest in helping some of Tim's former acquaintances. She is found murdered soon after. Tim starts a relationship with Juliet (Hunnicutt), the woman who found his aunt's body, and they are soon engaged. Dissatisfied with the progress that the police are making in his aunt's murder case, he begins to ask questions of some of his aunt's acquaintances. He then begins to receive warnings from unknown persons to stop his inquiries. He meets an elderly woman on the train. She hands him a note of supposed comfort, asking him to read it at home. The note turns out to be a warning about leaving matters to the police, apparently typed on his own typewriter. There's also an ominous laugh recorded on Tim's own tape recorder, indicating that someone had been in his apartment. Tim is then visited by a police sergeant, Sgt. Matthews, who informs him that the woman on the train had lodged a complaint against Tim. Sgt. Matthews takes Tim's information but after the woman is also killed, Tim finds out that there is no sergeant by that name working at the police station. Tim is later assaulted on the streets at night by two men who leave him lying on the ground with a hypodermic needle. Tim throws the needle away down a gutter. He makes contact with a secret government agency which tells him that they are after the people who are threatening him, but all is - again - not what it seems to be. As the situation continues, Tim and Juliet's wedding fast approaches.",301
"Bon Cop, Bad Cop 2","Following the events of the first film, Martin Ward (Feore) and David Bouchard (Huard) remained friends but have gradually grown apart as their lives and careers have taken them in different directions; Ward is now a senior officer with the Royal Canadian Mounted Police, while Bouchard remains undercover with the Sûreté du Québec. This time, their roles are reversed: Ward takes the lead, and has his turn experiencing challenges in his personal life. In the present day, the two are reunited to investigate a car theft ring which turns out to be a front for a much bigger terrorist plot.[6] Critics say the film gave their audience exactly what they expected: humour, action and nostalgia. [7] Fans claim the actors display the same chemistry as the first film, and ratings reflect high satisfaction from viewers.",135
Thozhilali,"Between Madras and Chengalpet, in the middle of the sixties… Thozhilali tells the story of Râdju (MGR), relentless worker, only son of a widow (S N. Lakshimi) of peasant origin, which in spite of the economic difficulties, makes a success, in parallel, of brilliant of high studies. We see him climbing, not without happinesses and problems, the social scale, via diverse jobs, arousing in the passage, the jealousy of his rich neighbors. But his effort will be rewarded in the measure for hard sound labour, in the person of beautiful and intelligent Vijaya (Ratna)... Raju, a hardworking man joins a bus company and earns the respect of boss Murugappan. Murugappan's daughter Meena falls for Raju but he refuses to marry her and is thrown out of the company.",128
The Flight of the Phoenix,"Frank Towns (James Stewart) is the pilot of a twin-engine Fairchild C-82 Packet cargo plane flying from Jaghbub to Benghazi in Libya; Lew Moran (Richard Attenborough) is the navigator. The passengers include Capt. Harris (Peter Finch) and Sgt. Watson (Ronald Fraser) of the British Army; Dr. Renaud (Christian Marquand), a physician; Heinrich Dorfmann (Hardy Krüger), a German aeronautical engineer; and an oil company accountant named Standish (Dan Duryea). There are also several oil workers, including Trucker Cobb (Ernest Borgnine), a mentally-disturbed foreman; Ratbags Crow (Ian Bannen), a mean-spirited, sardonic Scot; Carlos (Alex Montoya) and his pet monkey; and Gabriel (Gabriele Tinti). A sudden sandstorm disables the engines, forcing Towns to crash-land in the desert. As the aircraft careens to a stop, several oil drums and oil drilling tools break loose and severely injure Gabriel's leg. Two other workers are killed. The radio is unusable, and the survivors are too far off-course to be found and rescued. They have a large quantity of dates for food, but their water will last for only ten to fifteen days even if they avoid physical exertion. Harris and Carlos attempt to walk to an oasis. Carlos leaves his monkey behind with the men. Harris and Towns refuse to let Cobb go along, but Cobb defiantly follows and dies. Days later, Harris returns to the crash site alone and barely alive. Meanwhile, Dorfmann has been working on a radical idea: He believes they can build a new aircraft from the wreckage. The C-82 has twin booms extending rearwards from each engine and connected by the horizontal stabilizer. Dorfmann's plan is to attach the outer sections of the both wings to the left engine and left boom, discarding the center fuselage and both inner wing sections of the aircraft. The passengers will ride on top of the wings. Harris and Moran believe he is either joking or delusional. The argument is complicated by a personality clash between Towns, a proud old traditionalist aviator, and Dorfmann, an equally proud young technician. Moran struggles to keep the peace. Although Towns is resistant, Renaud points out that activity and any hope will keep the men's morale up, and so Towns agrees with the plan. Dorfmann supervises the reconstruction, while Towns remains doubtful. During the work, Gabriel commits suicide by slitting his wrist, making the men so depressed that they contemplate giving up the new plane's construction. Dorfmann is caught exceeding his water ration, but explains that he alone has been working continuously, and promises to not do it again while demanding they all work equally hard. Moran talks Towns into resuming work on the aircraft. When the new aircraft is almost complete, Standish labels it ""The Phoenix"" after the mythical bird that is reborn from its ashes. Any good mood, however, is quashed after a band of natives comes nearby. While the others (and the aircraft) remain hidden, Harris and Renaud go to ask them for help – and are murdered. Additionally, Towns and Moran learn that Dorfmann designs model airplanes rather than full-sized ones. Dorfmann claims that the principles are exactly the same, and that in many aspects models require much more exacting designs and can be less forgiving than full-size aircraft, but Towns and Moran are horrified at the idea of flying a plane made by a man who works with ""toys"". Without any other choice, however, they decide to forge ahead with the plan. Just as the water supplies are exhausted, the Phoenix is completed. Only seven starter cartridges are available for the engine, and the first four startup attempts are unsuccessful. Towns decides to fire the fifth cartridge with the ignition off, to clear the engine's cylinders, which he does over Dorfmann's strenuous objection. The next startup is successful. The men pull the Phoenix to a nearby hilltop and climb onto the wings. When Towns guns the engine, the Phoenix slides down the hill and along a lake bed before taking off. After landing at an oasis with a manned oil rig, the men celebrate and Towns and Dorfmann are reconciled.",676
Kickboxer,"Kurt Sloane (Jean-Claude Van Damme) is the cornerman for his brother Eric Sloane (Dennis Alexio), the United States kickboxing world champion. After another successful title defense, Eric is enticed by the media to compete in Thailand, where kickboxing was started, to further establish his legacy. Eric and Kurt travel to Bangkok where they are matched against Tong Po (Michel Qissi), Thailand's undefeated top fighter. Eric is supremely confident but Kurt is apprehensive, particularly after witnessing Tong Po kicking a concrete pillar in preparation for the fight. Kurt begs his brother not to go forward with the fight, but Eric dismisses any concerns. The first round is a one-sided affair in which Po dominates Eric with his superior strength. In between rounds, Kurt once again begs Eric to forfeit the fight, but Eric refuses to give up and continues to be beaten badly in the second round. Kurt throws in the towel, but Tong Po kicks the towel out of the ring and continues his assault. He viciously strikes Eric in the back with his elbow, immobilizing him, then rips apart Eric's world championship belt. Kurt retrieves the belt and leaves with his brother on a stretcher, but the fight officials simply leave them on the street and lock them out of the arena. Winston Taylor (Haskell V. Anderson III), a retired US Army special forces member agrees to help the pair and drives them to the hospital. As a result of Tong Po's brutal assault, Kurt is told that Eric is paralyzed from the waist down and will never be able to walk, let alone fight, again. Enraged, Kurt vows to avenge his brother. Taylor tells him about Xian Chow, a famous local trainer living in a remote area of Thailand. Although reluctant at first, Xian agrees to train Kurt in the art of Muay Thai (""Thai boxing""). Xian trains Kurt using many primitive methods, focusing on speed, agility, and the ability to protect himself through balance and timely breathing. While training, Kurt attempts to foil the operations of a group of Thai mobsters led by Freddy Li, who continuously steal money from the store of Xian's niece, Mylee and threaten her. After Kurt makes short work of the thugs in a bar fight with Freddy Li looking on, Xian is able to convince Freddy Li to arrange a match between Kurt and Tong Po. It is determined that they will fight in the ""ancient way"", in which both fighters wrap their hands in hemp rope, which is then coated in resin and dipped in broken glass to make them deadly weapons. Freddy Li arranges to have the fight fixed, and borrows $1 million from the crime syndicate's boss to bet on Tong Po. In the days leading up to the match, Mylee is beaten and raped by Tong Po, while Eric is kidnapped so Freddy Li can blackmail Kurt into losing the fight. To save his brother's life, Kurt is instructed by Freddy Li to go the distance with Tong Po before losing the match. He endures a torturous beating, but Xian and Taylor locate and rescue Eric before the fight concludes. Just before the final round, Eric whistles from the crowd & gives Kurt the thumbs-up while leading the crowd to chant “Nuk Soo Kow” (white warrior). With his brother out of danger, Kurt defeats Tong Po in vicious fashion, avenging his brother as Kurt and his friends celebrate his victory.",573
The Four Musketeers,"During the Anglo-French War (1627–29), which involved suppression of the Protestant rebels of La Rochelle, Cardinal Richelieu continues the machinations he began in The Three Musketeers by ordering the Count de Rochefort to kidnap Constance Bonancieux, dressmaker to the Queen of France. The evil Milady de Winter, who wants revenge on junior musketeer d'Artagnan, seduces him to keep him occupied. He soon discovers her true nature, however, and also that she was once married to his fellow musketeer Athos, who had supposedly killed her after discovering that she was a branded criminal. The trio of musketeers — Athos, Porthos, and Aramis — rescue Constance from imprisonment in Rochefort's abode of Saint Cloud and take her to safety in the convent of Armentieres. De Winter sends d'Artagnan poisoned wine and a note intended to trick him into thinking that the trio have been imprisoned for drunkenness. On his way to bail them out, d'Artagnan is attacked by Rochefort and his men. The trio join the fight, and Rochefort flees. One of his men is captured and tortured for information, revealing that Richelieu is going to the Dovecote Inn near La Rochelle, but then drinks the poisoned wine and dies, revealing de Winter's trap. The trio then proceed to the inn where they spy on Richelieu. The Cardinal orders de Winter to threaten the Duke of Buckingham with exposure of his affair with the Queen, to discourage him from sending a relief force to aid the rebels; she is to kill the Duke if he does not comply. In return, de Winter asks for a warrant, so she can kill d'Artagnan and Constance. Richelieu reluctantly signs one, wording it in a way that leaves no evidence against himself: ""By my order and for the good of the state, the bearer has done what has been done."" After revealing himself to de Winter, Athos takes the death warrant from her and later tells d'Artagnan of the plot. D'Artagnan sends his servant Planchet to warn the Duke. In England, de Winter asks Buckingham not to help the rebels, but he refuses. De Winter tries to assassinate him, but she is captured. Buckingham has his servant Felton lock her away in the Tower of London, but she seduces Felton and convinces him that Buckingham is his enemy. Felton helps her to escape and return to France, then murders Buckingham before Planchet can warn him. Soon after, La Rochelle surrenders. Rochefort and de Winter are still intent on killing d'Artagnan and Constance. With a force of guards, they occupy the convent at Armentieres and battle all four musketeers when they arrive. While Rochefort and his men hold the musketeers at bay, de Winter strangles Constance. Athos captures de Winter; D'Artagnan duels Rochefort and apparently kills him with a lunge through the chest (though it is revealed in the sequel The Return of the Musketeers that he actually survived the wound). The four musketeers sentence de Winter to death by beheading, and they hire an executioner to carry out the punishment. Afterward, they are arrested by the Cardinal's guards. Richelieu charges d'Artagnan with murder for killing a valuable servant of the State, but d'Artagnan shows him the signed death warrant which, due to its ambiguous phrasing, appears to authorize d'Artagnan's actions. Utterly defeated and quite impressed at d'Artagnan's achievement, the Cardinal offers him a commission for either him or one of his three friends to become an officer. Athos, Porthos, and Aramis all reject it, and d'Artagnan is promoted to Lieutenant of the Musketeers.",587
Dark Victory,"Judith Traherne (Bette Davis) is a young, carefree, hedonistic Long Island socialite and heiress with a passion for horses, fast cars, and too much smoking and drinking. She initially ignores severe headaches and brief episodes of dizziness and double vision, but when she uncharacteristically takes a spill while riding, and then tumbles down a flight of stairs, her secretary and best friend Ann King (Geraldine Fitzgerald) insists she see the family doctor, who refers her to a specialist. Dr. Frederick Steele (George Brent) is in the midst of closing his New York City office in preparation of a move to Brattleboro, Vermont, where he plans to devote his time to brain cell research and scientific study on their growth. He reluctantly agrees to see Judith, who is cold and openly antagonistic toward him. She shows signs of short-term memory loss, but dismisses her symptoms. Steele convinces her the ailments she is experiencing are serious and potentially life-threatening, and puts his career plans on hold to tend to her. When diagnostic tests confirm his suspicions, Judith agrees to surgery to remove a malignant brain tumor. Steele discovers the tumor cannot be completely removed, and realizes she has less than a year to live. The end will be painless but swift—shortly after experiencing total blindness, Judith will die. In order to allow her a few more months of happiness, Steele opts to lie to Judith and Ann and assures them the surgery was a success. As he is a poor liar, Ann is suspicious and confronts Steele, who admits the truth. Steele tells Ann, ""she must never know"" she is going to die soon. She agrees to remain silent and continue the lie. Judith and Steele become involved romantically and eventually engaged. While helping his assistant pack the office prior to their departure for Vermont, Judith discovers her case history file containing letters from several doctors, all of them confirming Steele's prognosis. Assuming Steele was marrying her out of pity, Judith breaks off the engagement and reverts to her former lifestyle. One day, her stablemaster Michael O'Leary (Humphrey Bogart), who for years has loved her from afar, confronts her about her unruly behavior and she confesses she is dying. Their conversation convinces her she should spend her final months happy, dignified, and with the man she loves. She apologizes to Steele, she and Steele marry, and move to Vermont. (Throughout the film Judith and O'Leary engage in arguments about the prospects of a colt, Challenger. O'Leary insists Challenger will never make a racehorse while Judith sees him as a future champion, and just before her death O'Leary admits she was correct.) Three months later, Ann comes to visit. She and Judith are in the garden planting bulbs when Judith comments on how odd it is she still feels the heat of the sun under the rapidly darkening skies. She realizes she actually is losing her vision and approaching the end. Steele is scheduled to present his most recent medical findings – which hold out the long-term prospect of a cure for this type of cancer – in New York, and Judith, making an excuse to remain home, helps him pack and sends him off. Then, after bidding Ann, her housekeeper Martha (Virginia Brissac), and her dogs farewell, she climbs the stairs and enters her bedroom. She kneels briefly at the side of her bed, apparently praying, then lies down on the bed. Martha, who has followed her, drapes a blanket over her. Judith asks to be left alone, and Martha withdraws. The camera focuses on the motionless Judith as the screen becomes blurry, fades to black, and the film ends.",608
Along Came Polly,"Reuben Feffer (Ben Stiller), a risk analyst for life insurance, is celebrating his honeymoon with newlywed wife, Lisa Kramer (Debra Messing), on the island of St. Barts, but catches her having sex with Claude (Hank Azaria), a French scuba instructor. Returning home to New York alone, he attempts to piece his life back together. Reuben goes to an art gallery with his friend, Sandy Lyle (Philip Seymour Hoffman), where he runs into former junior high school classmate Polly Prince (Jennifer Aniston). Reuben and Polly begin dating, with her introducing him to activities he once wrote off as ""too risky"". This included eating at a Moroccan restaurant which ends badly due to Reubens IBS(Irritable bowel syndrome). Luckily, Polly gives him a second chance where they end up salsa dancing and later enthusiastically having sex together, with Reuben shouting ""50"" as he orgasms. The contrast between their two personalities is a source of comedy throughout the film until Lisa returns and tells him she wants to reconcile their relationship. Meanwhile, Sandy, a self-centered, former teen idol, is trying to make a comeback by having a documentary filmed about his starring role as Judas in an amateur production of Jesus Christ Superstar. Reuben is torn between the free-spirited Polly and the safe and familiar Lisa. To solve this issue, he enters information about Polly and Lisa into a computer insurance program which measures risk. The computer tells him that, despite his numerous blunders with her, Polly is the least risky choice for Reuben. Polly joins Reuben on a sailing trip where he is to inspect Leland Van Lew (Bryan Brown), a high-risk client, but she is offended when she sees his risk analysis of her. She rejects his proposal to move in together, telling him that he would be better off going back to Lisa. Back home, Reuben tries talking to Polly, but to no avail. He eventually invites Lisa to Sandy's opening show, where he learns that Polly is leaving New York for Cincinnati in a few hours. After a speech given by his father, Irving (Bob Dishy), to Sandy about not living in the past, Reuben realizes he wants to be with Polly and not Lisa, and he rushes to her apartment to stop her from leaving. Polly is not convinced she should stay with him, so Reuben eats food off the ground to prove he is capable of taking risks. Reuben and Polly vacation on the same beach where Lisa and he had their honeymoon. Reuben again encounters Claude, but instead of being angry, he thanks Claude before heading into the water with Polly to join Van Lew on his new boat.",442
Sweet Charity,"Charity Hope Valentine (Shirley MacLaine) works as a taxi dancer along with her friends, Nickie (Chita Rivera) and Helene (Paula Kelly). She longs for love, but has bad luck with men, being robbed and pushed off Gapstow Bridge in Central Park by one ex-boyfriend. She has another humiliating encounter with Vittorio Vitale (Ricardo Montalbán), a movie star. After failing to find a new job through an employment agency, Charity meets shy Oscar Lindquist (John McMartin) in a stuck elevator. They strike up a relationship, but Charity does not reveal what she does for a living. When she finally does tell Oscar, he initially seems to accept it, but finally tells Charity that he cannot marry her. The optimistic Charity faces her future, alone for the time being, living hopefully ever after. An alternate ending found on the Laserdisc and DVD versions picks up after Oscar leaves Charity. Oscar starts to go crazy in his apartment and, feeling suffocated, goes for a walk in the park. He sees Charity on their bridge in Central Park and thinks she is going to jump. Racing to rescue her, he trips and falls in the water. Charity jumps in after him, but can't swim so Oscar rescues her. Oscar realizes Charity is the only breath of fresh air in his life, proposes again, and she accepts. Fosse thought the ending was too corny, but filmed it in apprehension that the studio would demand a happy ending. In the end, though, they agreed with Fosse and kept the original ending from the stage version.",259
